Name,Unit,Price,Total,Link
GY-NEO6MV2 New NEO-6M GPS Module,1,3.88,3.88,https://www.aliexpress.com/item/1005010504615307.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.84%21USD%203.88%21%21USD%203.88%21%21%21%402141115b17662523169702224ebe35%2112000052618923468%21ct%21BD%216357845810%21%211%210
GSM module SIM900A ,1,2.49,2.49,https://www.aliexpress.com/item/1005006984558862.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%202.68%21USD%202.49%21%21USD%202.49%21%21%21%402101590d17662523755553248e5702%2112000038944610753%21ct%21BD%216357845810%21%211%210
1.3 inch OLED display module,1,2.19,2.19,https://www.aliexpress.com/item/1005010379265548.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%202.19%21USD%202.19%21%21USD%202.19%21%21%21%402101590d17662524062973954e5702%2112000052210429104%21ct%21BD%216357845810%21%211%210
HC-SR04 Ultrasonic Sensor Module ,1,5.11,5.11,https://www.aliexpress.com/item/1005010516925055.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2015.96%21USD%205.11%21%21USD%205.11%21%21%21%402101590d17662524314914487e5702%2112000052669372395%21ct%21BD%216357845810%21%211%210
IR Infrared Obstacle Avoidance Sensor Module,5,3.57,17.85,https://www.aliexpress.com/item/1005010404821678.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%203.57%21USD%203.57%21%21USD%203.46%21%21%21%402101590d17662524566885059e5702%2112000052299451580%21ct%21BD%216357845810%21%215%210
XL4015 5A DC to DC Power Converter,1,1.04,1.04,https://www.aliexpress.com/item/1084552308.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%201.04%21USD%201.04%21%21USD%201.04%21%21%21%402101590d17662525317826605e5702%2110000001997231266%21ct%21BD%216357845810%21%211%210
MT3608 DC-DC Step Up Converter Booster Power Supply Module,2,3.7,7.4,https://www.aliexpress.com/item/1005006035788311.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.87%21USD%203.70%21%21USD%203.70%21%21%21%402101590d17662525908477633e5702%2112000035422828577%21ct%21BD%216357845810%21%211%210
Male Female XT30 XT90 Bullet Connectors Plugs ,1,1.5,1.5,https://www.aliexpress.com/item/1005004628891959.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%204.05%21USD%201.50%21%21USD%201.50%21%21%21%402101590d17662526380238584e5702%2112000029895596784%21ct%21BD%216357845810%21%211%210
Male to Male + Male to Female Female to Female Jumper Wire ,1,7.35,7.35,https://www.aliexpress.com/item/4000203371860.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%207.45%21USD%207.35%21%21USD%207.35%21%21%21%402101590d17662526999302114e5702%2112000036827205086%21ct%21BD%216357845810%21%211%210
BMS 25A Battery Protection Board Balanced Charging Module,1,5.61,5.61,https://www.aliexpress.com/item/1005010419461479.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.11%21USD%205.61%21%21USD%205.61%21%21%21%402101590d17662526999302114e5702%2112000052348197593%21ct%21BD%216357845810%21%211%210
Molicel P30B 18650 Battery 30A 3.7v,3,12.77,38.31,https://www.aliexpress.com/item/1005008683505495.html?spm=a2g0o.cart.0.0.503b38dajCf6J9&mp=1&pdp_npi=5%40dis%21USD%21USD%2021.29%21USD%2012.77%21%21USD%2012.77%21%21%21%402101590d17662527464793268e5702%2112000046226945647%21ct%21BD%216357845810%21%213%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
,,,,
,,,58.29,
Total,,,398.09,
